section_id,section_name,section_path,category_id,category_name,category_slug,article_id,title,source_url,en_file,translated,uploaded,wp_id,wp_link
49375463241883,API keys,Account > API keys,115000867647,Account & billing,account-billing,7423954176283,How to create or clone a private API key,https://help.klaviyo.com/hc/en-us/articles/7423954176283-How-to-create-or-clone-a-private-API-key,account-billing/How-to-create-or-clone-a-private-API-key-7423954176283.md,True,True,10977,https://dynamicycle.com/docs/articles-how-to-create-or-clone-a-private-api-key/
49375463241883,API keys,Account > API keys,115000867647,Account & billing,account-billing,360052448451,How to keep your account secure,https://help.klaviyo.com/hc/en-us/articles/360052448451-How-to-keep-your-account-secure,account-billing/How-to-keep-your-account-secure-360052448451.md,True,True,10898,https://dynamicycle.com/docs/articles-how-to-keep-your-account-secure/
49375463241883,API keys,Account > API keys,115000867647,Account & billing,account-billing,115005062267,How to manage your account's API keys,https://help.klaviyo.com/hc/en-us/articles/115005062267-How-to-manage-your-account-s-API-keys,account-billing/How-to-manage-your-account's-API-keys-115005062267.md,True,True,10827,https://dynamicycle.com/docs/articles-how-to-manage-your-account-s-api-keys/
49375475267099,Organizational,Account > Organizational,115000867647,Account & billing,account-billing,115005232388,How to adjust the time zone setting for your account,https://help.klaviyo.com/hc/en-us/articles/115005232388-How-to-adjust-the-time-zone-setting-for-your-account,account-billing/How-to-adjust-the-time-zone-setting-for-your-account-115005232388.md,True,True,11103,https://dynamicycle.com/docs/articles-how-to-adjust-the-time-zone-setting-for-your-account/
49375475267099,Organizational,Account > Organizational,115000867647,Account & billing,account-billing,115005061007,How to change the currency for your account,https://help.klaviyo.com/hc/en-us/articles/115005061007-How-to-change-the-currency-for-your-account,account-billing/How-to-change-the-currency-for-your-account-115005061007.md,True,True,11167,https://dynamicycle.com/docs/articles-how-to-change-the-currency-for-your-account/
49375475267099,Organizational,Account > Organizational,115000867647,Account & billing,account-billing,25956849989531,How to change the language for your account,https://help.klaviyo.com/hc/en-us/articles/25956849989531-How-to-change-the-language-for-your-account,account-billing/How-to-change-the-language-for-your-account-25956849989531.md,True,True,10441,
49375475267099,Organizational,Account > Organizational,115000867647,Account & billing,account-billing,19917469357083,How to change your account name,https://help.klaviyo.com/hc/en-us/articles/19917469357083-How-to-change-your-account-name,account-billing/How-to-change-your-account-name-19917469357083.md,True,True,10492,
49375475267099,Organizational,Account > Organizational,115000867647,Account & billing,account-billing,15166435131163,How to change your account's organization name,https://help.klaviyo.com/hc/en-us/articles/15166435131163-How-to-change-your-account-s-organization-name,account-billing/How-to-change-your-account's-organization-name-15166435131163.md,True,True,10548,
49375475267099,Organizational,Account > Organizational,115000867647,Account & billing,account-billing,360047183572,How to rebrand in Klaviyo,https://help.klaviyo.com/hc/en-us/articles/360047183572-How-to-rebrand-in-Klaviyo,account-billing/How-to-rebrand-in-Klaviyo-360047183572.md,True,True,11249,https://dynamicycle.com/docs/articles-how-to-rebrand-in-klaviyo/
49375475267099,Organizational,Account > Organizational,115000867647,Account & billing,account-billing,1260805043069,How to update your billing address or billing email address,https://help.klaviyo.com/hc/en-us/articles/1260805043069-How-to-update-your-billing-address-or-billing-email-address,account-billing/How-to-update-your-billing-address-or-billing-email-address-1260805043069.md,True,True,10893,https://dynamicycle.com/docs/articles-how-to-update-your-billing-address-or-billing-email-address/
49375475267099,Organizational,Account > Organizational,115000867647,Account & billing,account-billing,115005232048,How to update your credit card information,https://help.klaviyo.com/hc/en-us/articles/115005232048-How-to-update-your-credit-card-information,account-billing/How-to-update-your-credit-card-information-115005232048.md,True,True,11231,https://dynamicycle.com/docs/articles-how-to-update-your-credit-card-information/
49375475267099,Organizational,Account > Organizational,115000867647,Account & billing,account-billing,360050696531,How to update your industry and vertical in Klaviyo,https://help.klaviyo.com/hc/en-us/articles/360050696531-How-to-update-your-industry-and-vertical-in-Klaviyo,account-billing/How-to-update-your-industry-and-vertical-in-Klaviyo-360050696531.md,True,True,10652,
49375475267099,Organizational,Account > Organizational,115000867647,Account & billing,account-billing,44579125790747,Understanding the activity logger (beta),https://help.klaviyo.com/hc/en-us/articles/44579125790747-Understanding-the-activity-logger-beta,account-billing/Understanding-the-activity-logger-(beta)-44579125790747.md,True,True,10278,
49375450290331,Personal,Account > Personal,115000867647,Account & billing,account-billing,115005079087,How to update your account email and password in Klaviyo,https://help.klaviyo.com/hc/en-us/articles/115005079087-How-to-update-your-account-email-and-password-in-Klaviyo,account-billing/How-to-update-your-account-email-and-password-in-Klaviyo-115005079087.md,True,True,11098,https://dynamicycle.com/docs/articles-how-to-update-your-account-email-and-password-in-klaviyo/
49375482397083,Security,Account > Security,115000867647,Account & billing,account-billing,50588009523227,General Account Security Tips and Tricks,https://help.klaviyo.com/hc/en-us/articles/50588009523227-General-Account-Security-Tips-and-Tricks,account-billing/General-Account-Security-Tips-and-Tricks-50588009523227.md,True,True,10193,
49375482397083,Security,Account > Security,115000867647,Account & billing,account-billing,50588094887323,General Account Security Tips and Tricks,https://help.klaviyo.com/hc/en-us/articles/50588094887323-General-Account-Security-Tips-and-Tricks,account-billing/General-Account-Security-Tips-and-Tricks-50588094887323.md,True,True,10192,
49375482397083,Security,Account > Security,115000867647,Account & billing,account-billing,35086040411035,How to grant a Klaviyo representative permission to your account,https://help.klaviyo.com/hc/en-us/articles/35086040411035-How-to-grant-a-Klaviyo-representative-permission-to-your-account,account-billing/How-to-grant-a-Klaviyo-representative-permission-to-your-account-35086040411035.md,True,True,10372,
49375482397083,Security,Account > Security,115000867647,Account & billing,account-billing,20599699660571,How to reset multi-factor authentication for a user,https://help.klaviyo.com/hc/en-us/articles/20599699660571-How-to-reset-multi-factor-authentication-for-a-user,account-billing/How-to-reset-multi-factor-authentication-for-a-user-20599699660571.md,True,True,10488,
49375482397083,Security,Account > Security,115000867647,Account & billing,account-billing,10952782535579,How to set up SCIM user provisioning,https://help.klaviyo.com/hc/en-us/articles/10952782535579-How-to-set-up-SCIM-user-provisioning,account-billing/How-to-set-up-SCIM-user-provisioning-10952782535579.md,True,True,10877,https://dynamicycle.com/docs/articles-how-to-set-up-scim-user-provisioning/
49375482397083,Security,Account > Security,115000867647,Account & billing,account-billing,360026617692,How to set up multi-factor authentication (MFA),https://help.klaviyo.com/hc/en-us/articles/360026617692-How-to-set-up-multi-factor-authentication-MFA,account-billing/How-to-set-up-multi-factor-authentication-(MFA)-360026617692.md,True,True,11007,https://dynamicycle.com/docs/articles-how-to-set-up-multi-factor-authentication-mfa/
49375482397083,Security,Account > Security,115000867647,Account & billing,account-billing,9353860331035,How to set up single sign-on (SSO),https://help.klaviyo.com/hc/en-us/articles/9353860331035-How-to-set-up-single-sign-on-SSO,account-billing/How-to-set-up-single-sign-on-(SSO)-9353860331035.md,True,True,10574,
